Words,Characters,F1
"(3, 3)","(6, 7)",41.707018265098725
"(3, 3)","(7, 7)",41.060873937250925
"(3, 4)","(2, 2)",44.80765990994306
"(3, 4)","(2, 3)",45.5019680371793
"(3, 4)","(2, 4)",47.26139853945057
"(3, 4)","(2, 5)",46.18215368393305
"(3, 4)","(2, 6)",46.24318345813076
"(3, 4)","(2, 7)",45.292973931913316
"(3, 4)","(3, 3)",47.058990500944375
"(3, 4)","(3, 4)",47.64099181266266
"(3, 4)","(3, 5)",45.84882035059971
"(3, 4)","(3, 6)",46.55627878649462
"(3, 4)","(3, 7)",45.928295032772645
"(3, 4)","(4, 4)",46.73616046750375
"(3, 4)","(4, 5)",46.796086939971836
"(3, 4)","(4, 6)",46.54082411143359
"(3, 4)","(4, 7)",45.913150454830436
"(3, 4)","(5, 5)",45.63489258080987
"(3, 4)","(5, 6)",44.176812591887
"(3, 4)","(5, 7)",43.24722190399817
"(3, 4)","(6, 6)",43.29563087497916
"(3, 4)","(6, 7)",42.360663278112966
"(3, 4)","(7, 7)",41.0692286503879
